Date 	Symbol 	Security Name 	Client Name 	Buy / Sell 	Quantity Traded 	Trade Price / Wght. Avg. Price 	Remarks 
02-Aug-23	GEPIL	GE Power India Limited	NK SECURITIES RESEARCH PRIVATE LIMITED	BUY	"3,42,576"	177.96	-
02-Aug-23	GEPIL	GE Power India Limited	NK SECURITIES RESEARCH PRIVATE LIMITED	SELL	"3,42,581"	178.07	-
02-Aug-23	GEPIL	GE Power India Limited	QE SECURITIES	BUY	"3,53,346"	178.3	-
02-Aug-23	GEPIL	GE Power India Limited	QE SECURITIES	SELL	"3,59,030"	178.44	-
02-Aug-23	GREENPOWER	Orient Green Power Co Ltd	CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED	BUY	"36,90,705"	15.59	-
02-Aug-23	GREENPOWER	Orient Green Power Co Ltd	CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED	SELL	"48,99,337"	15.56	-
02-Aug-23	GREENPOWER	Orient Green Power Co Ltd	HRTI PRIVATE LIMITED	BUY	"64,93,488"	15.59	-
02-Aug-23	GREENPOWER	Orient Green Power Co Ltd	HRTI PRIVATE LIMITED	SELL	"68,03,580"	15.63	-
02-Aug-23	GREENPOWER	Orient Green Power Co Ltd	QE SECURITIES	BUY	"60,17,067"	15.59	-
02-Aug-23	GREENPOWER	Orient Green Power Co Ltd	QE SECURITIES	SELL	"62,18,321"	15.6	-
02-Aug-23	IBULHSGFIN	Indiabulls Hsg Fin Ltd	HRTI PRIVATE LIMITED	BUY	"48,02,287"	148.34	-
02-Aug-23	IBULHSGFIN	Indiabulls Hsg Fin Ltd	HRTI PRIVATE LIMITED	SELL	"47,86,951"	148.41	-
02-Aug-23	INFOLLION	Infollion Research Ser L	CRONY VYAPAR PVT LTD	BUY	"49,600"	188.84	-
02-Aug-23	INFOLLION	Infollion Research Ser L	CRONY VYAPAR PVT LTD	SELL	"49,600"	189.48	-
02-Aug-23	JSWISPL	JSW Ispat Spe Pro Ltd	GLOBE CAPITAL MARKET LTD.	BUY	"8,87,930"	38.38	-
02-Aug-23	JSWISPL	JSW Ispat Spe Pro Ltd	GLOBE CAPITAL MARKET LTD.	SELL	"68,03,365"	38.31	-
02-Aug-23	MANINDS	Man Industries (I) Ltd	GRAVITON RESEARCH CAPITAL LLP	BUY	"4,55,096"	157.08	-
02-Aug-23	MANINDS	Man Industries (I) Ltd	GRAVITON RESEARCH CAPITAL LLP	SELL	"4,55,096"	157.41	-
02-Aug-23	ONELIFECAP	Onelife Cap Advisors Ltd	MITTAL RIMPY	BUY	"1,86,941"	13.05	-
02-Aug-23	ONELIFECAP	Onelife Cap Advisors Ltd	MITTAL RIMPY	SELL	"1,25,590"	13.11	-
02-Aug-23	RHFL	Reliance Home Finance Ltd	HI GROWTH CORPORATE SERVICES PVT LTD	BUY	"25,50,424"	3.12	-
02-Aug-23	RHFL	Reliance Home Finance Ltd	HI GROWTH CORPORATE SERVICES PVT LTD	SELL	"29,45,383"	3.1	-
02-Aug-23	RHFL	Reliance Home Finance Ltd	RELIANCE CAPITAL LTD	SELL	"43,00,000"	3.11	-
02-Aug-23	RIIL	Reliance Indl Infra Ltd	GRAVITON RESEARCH CAPITAL LLP	BUY	"89,324"	"1,001.00"	-
02-Aug-23	RIIL	Reliance Indl Infra Ltd	GRAVITON RESEARCH CAPITAL LLP	SELL	"89,324"	"1,002.32"	-
02-Aug-23	RPOWER	Reliance Power Limited	ACHINTYA SECURITIES PRIVATE LIMITED	BUY	"1,95,44,067"	17.84	-
02-Aug-23	RPOWER	Reliance Power Limited	ACHINTYA SECURITIES PRIVATE LIMITED	SELL	"2,01,72,577"	17.82	-
02-Aug-23	RPOWER	Reliance Power Limited	HRTI PRIVATE LIMITED	BUY	"5,04,81,656"	17.65	-
